Division Name,School Name,percentage_homeless
Accomack County,Accawmacke Elementary,0.09313725490196079
Accomack County,Arcadia High,0.024745269286754003
Accomack County,Arcadia Middle,0.0
Accomack County,Chincoteague Elementary,0.061946902654867256
Accomack County,Chincoteague High,0.0
Accomack County,Kegotank Elementary,0.03368421052631579
Accomack County,Metompkin Elementary,0.021505376344086023
Accomack County,Nandua High,0.029141104294478526
Accomack County,Nandua Middle,0.05274725274725275
Accomack County,Pungoteague Elementary,0.06880733944954129
Accomack County,Tangier Combined,0.0
Albemarle County,Agnor-Hurt Elementary,0.0
Albemarle County,Albemarle High,1.0
Albemarle County,Baker-Butler Elem,0.0
Albemarle County,Broadus Wood Elementary,0.0
Albemarle County,Brownsville Elementary,0.0
Albemarle County,Community Lab School,0.0
Albemarle County,Crozet Elementary,0.0
Albemarle County,Hollymead Elementary,0.0
Albemarle County,Jack Jouett Middle,0.0
Albemarle County,Jackson P. Burley Middle,0.0
Albemarle County,Joseph T. Henley Middle,0.0
Albemarle County,Lakeside Middle,0.0
Albemarle County,Leslie H. Walton Middle,0.0
Albemarle County,Mary Carr Greer Elementary,0.0
Albemarle County,Meriwether Lewis Elementary,0.0
Albemarle County,Monticello High,
Albemarle County,Mountain View Elementary,0.0
Albemarle County,Red Hill Elementary,0.0
Albemarle County,Scottsville Elementary,0.0
Albemarle County,Stone Robinson Elementary,0.0
Albemarle County,Stony Point Elementary,0.0
Albemarle County,Virginia L. Murray Elementary,0.0
Albemarle County,Western Albemarle High,
Albemarle County,Woodbrook Elementary,0.0
Alexandria City,Alexandria City High,1.0
Alexandria City,Charles Barrett Elementary,0.0
Alexandria City,Cora Kelly School for Math Science and Technology,0.0
Alexandria City,Douglas Macarthur Elementary,0.0
Alexandria City,Early Childhood Center,0.0
Alexandria City,Ferdinand T. Day Elementary,0.0
Alexandria City,Francis C. Hammond Middle,1.0
Alexandria City,George Mason Elementary,0.0
Alexandria City,George Washington Middle,
Alexandria City,James K. Polk Elementary,0.0
Alexandria City,Jefferson-Houston PK-8 School,0.015527950310559006
Alexandria City,John Adams Elementary,0.0
Alexandria City,Lyles-Crouch Elementary,0.0
Alexandria City,Mount Vernon Elementary,0.0
Alexandria City,Naomi L. Brooks Elementary,0.0
Alexandria City,Patrick Henry K-8 School,0.0
Alexandria City,Samuel W. Tucker Elementary,0.0
Alexandria City,William Ramsay Elementary,0.0
Alleghany County,Alleghany High,0.0
Alleghany County,Callaghan Elementary,0.0
Alleghany County,Clifton Middle,0.0
Alleghany County,Mountain View Elementary,0.0
Alleghany County,Sharon Elementary,0.0
Amelia County,Amelia County Elementary,0.0
Amelia County,Amelia County High,0.0
Amelia County,Amelia County Middle,0.0
Amherst County,Amelon Elementary,0.0
Amherst County,Amherst County High,
Amherst County,Amherst Elementary,0.0
Amherst County,Amherst Middle,0.0
Amherst County,Central Elementary,0.0
Amherst County,Elon Elementary,0.0
Amherst County,Madison Heights Elementary,0.031496062992125984
Amherst County,Monelison Middle,0.02142857142857143
Amherst County,Temperance Elementary,0.0
Appomattox County,Appomattox County High,0.0
Appomattox County,Appomattox Elementary,0.0
Appomattox County,Appomattox Middle,0.0
Appomattox County,Appomattox Primary,0.0
Arlington County,Abingdon Elementary,0.0
Arlington County,Alice West Fleet Elementary,0.0
Arlington County,Arlington Community High,0.0
Arlington County,Arlington Science Focus School,0.0
Arlington County,Arlington Traditional,0.0
Arlington County,Ashlawn Elementary,0.0
Arlington County,Barcroft Elementary,0.0
Arlington County,Barrett Elementary,0.0
Arlington County,Campbell Elementary,0.0
Arlington County,Cardinal Elementary,0.0
Arlington County,Carlin Springs Elementary,0.0
Arlington County,Claremont Immersion,0.0
Arlington County,Discovery Elementary,0.0
Arlington County,Dorothy Hamm Middle,0.0
Arlington County,Dr. Charles R. Drew Elementary,0.0
Arlington County,Escuela Key Elementary,0.0
Arlington County,Glebe Elementary,0.0
Arlington County,Gunston Middle,
Arlington County,Hoffman-Boston Elementary,0.0
Arlington County,Innovation Elementary,0.0
Arlington County,Integration Station,0.0
Arlington County,Jamestown Elementary,0.0
Arlington County,Jefferson Middle,0.0
Arlington County,Kenmore Middle,
Arlington County,Long Branch Elementary,0.0
Arlington County,Montessori Public School of Arlington,0.0
Arlington County,Nottingham Elementary,0.0
Arlington County,Oakridge Elementary,0.0
Arlington County,Randolph Elementary,0.0
Arlington County,Swanson Middle,0.0
Arlington County,Taylor Elementary,0.0
Arlington County,Tuckahoe Elementary,0.0
Arlington County,Wakefield High,1.0
Arlington County,Washington-Liberty High,
Arlington County,Williamsburg Middle,0.0
Arlington County,Yorktown High,
Augusta County,Beverley Manor Middle,0.0
Augusta County,Buffalo Gap High,0.0
Augusta County,Cassell Elementary,0.0
Augusta County,Churchville Elementary,0.0
Augusta County,Craigsville Elementary,0.0
Augusta County,Edward G. Clymore Elementary,0.0
Augusta County,Fort Defiance High,0.0
Augusta County,Guy K. Stump Elementary,0.0
Augusta County,North River Elementary,0.0
Augusta County,Riverheads Elementary,0.0
Augusta County,Riverheads High,0.0
Augusta County,S. Gordon Stewart Middle,0.0
Augusta County,Stuarts Draft Elementary,0.0
Augusta County,Stuarts Draft High,0.0
Augusta County,Stuarts Draft Middle,0.0
Augusta County,Wilson Elementary,0.0
Augusta County,Wilson Memorial High,0.0
Augusta County,Wilson Middle,0.0
Bath County,Bath County High,0.0
Bath County,Millboro Elementary,0.0
Bath County,Valley Elementary,0.0
Bedford County,Bedford Elementary,0.0
Bedford County,Bedford Primary,0.0
Bedford County,Big Island Elementary,0.0
Bedford County,Boonsboro Elementary,0.0
Bedford County,Forest Elementary,0.0
Bedford County,Forest Middle,0.0
Bedford County,Goodview Elementary,0.0
Bedford County,Huddleston Elementary,0.0
Bedford County,Jefferson Forest High,
Bedford County,Liberty High,0.0
Bedford County,Liberty Middle,0.0
Bedford County,Moneta Elementary,0.0
Bedford County,Montvale Elementary,0.0
Bedford County,New London Academy Elementary,0.0
Bedford County,Otter River Elementary,0.0
Bedford County,Staunton River High,0.013057671381936888
Bedford County,Staunton River Middle,0.0
Bedford County,Stewartsville Elementary,0.0
Bedford County,Thomas Jefferson Elementary,0.0
Bland County,Bland County Elementary,0.0
Bland County,Bland County High,0.0
Botetourt County,Breckinridge Elementary,0.0
Botetourt County,Buchanan Elementary,0.0
Botetourt County,Central Academy Middle,0.0
Botetourt County,Cloverdale Elementary,0.0
Botetourt County,Colonial Elementary,0.0
Botetourt County,Eagle Rock Elementary,0.0
Botetourt County,Greenfield Elementary,0.0
Botetourt County,James River High,0.0
Botetourt County,Lord Botetourt High,
Botetourt County,Read Mountain Middle,0.0
Botetourt County,Troutville Elementary,0.0
Bristol City,Highland View Elementary,0.0
Bristol City,Joseph Van Pelt Elementary,0.0
Bristol City,Stonewall Jackson Elementary,0.0
Bristol City,Virginia High,0.0
Bristol City,Virginia Middle,0.051440329218107
Bristol City,Washington-Lee Elementary,0.13304721030042918
Brunswick County,Brunswick High,0.0
Brunswick County,James S. Russell Middle,0.0
Brunswick County,Meherrin Powellton Elementary,0.0
Brunswick County,Red Oak-Sturgeon Elementary,0.0
Brunswick County,Totaro Elementary,0.0
Buchanan County,Council Elementary/Middle,0.0
Buchanan County,Council High,0.0
Buchanan County,Grundy High,0.0
Buchanan County,Hurley Elementary/Middle,0.0
Buchanan County,Hurley High,0.0
Buchanan County,Riverview Elementary/Middle,0.0
Buchanan County,Twin Valley Elementary/Middle,0.0
Buchanan County,Twin Valley High,0.0
Buckingham County,Buckingham Co Elementary,0.0
Buckingham County,Buckingham Co Prekindergarten Center,0.0
Buckingham County,Buckingham Co Primary,0.0
Buckingham County,Buckingham County High,0.0
Buckingham County,Buckingham County Middle,0.025793650793650792
Buena Vista City,Enderly Heights Elementary,0.0
Buena Vista City,F.W. Kling Jr. Elementary,0.0
Buena Vista City,Parry McCluer High,0.0
Buena Vista City,Parry McCluer Middle,0.0
Campbell County,Altavista Elementary,0.0
Campbell County,Altavista High,0.0
Campbell County,Brookneal Elementary,0.0
Campbell County,Brookville High,
Campbell County,Brookville Middle,0.0
Campbell County,Concord Elementary,0.0
Campbell County,Leesville Road Elementary,0.0
Campbell County,Rustburg Elementary,0.0
Campbell County,Rustburg High,0.0
Campbell County,Rustburg Middle,0.0
Campbell County,Tomahawk Elementary,0.0
Campbell County,William Campbell High,0.0
Campbell County,Yellow Branch Elementary,0.0
Caroline County,Bowling Green Elementary,0.0
Caroline County,Caroline High,
Caroline County,Caroline Middle,0.0
Caroline County,Lewis and Clark Elementary,0.0
Caroline County,Madison Elementary,0.0
Carroll County,Carroll County High,
Carroll County,Carroll County Middle,0.0
Carroll County,Fancy Gap Elementary,0.0
Carroll County,Gladesboro Elementary,0.0
Carroll County,Gladeville Elementary,0.0
Carroll County,Hillsville Elementary,0.0
Carroll County,Laurel Elementary,0.0
Carroll County,Oakland Elementary,0.0
Carroll County,St. Paul,0.0
Charles City County,Charles City County Elementary,0.0
Charles City County,Charles City County High,0.0
Charlotte County,Bacon District Elementary,0.0
Charlotte County,Central Middle,0.0
Charlotte County,Eureka Elementary,0.0
Charlotte County,Phenix Elementary,0.0
Charlotte County,Randolph-Henry High,0.0
Charlottesville City,Buford Middle,0.0
Charlottesville City,Burnley-Moran Elementary,0.0
Charlottesville City,Charlottesville High,
Charlottesville City,Clark Elementary,0.0
